日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20190215,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3391.24,3395.03,3335.87,3338.70,-63.44,-1.86,14366.86,1415.55,300
20190218,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3366.42,3445.74,3366.42,3445.74,107.04,3.21,18288.61,1804.50,300
20190219,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3454.72,3480.79,3419.07,3439.61,-6.14,-0.18,17908.38,1857.63,300
20190220,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3449.93,3463.77,3421.51,3451.93,12.32,0.36,14739.03,1455.70,300
20190221,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3450.14,3500.25,3431.63,3442.71,-9.22,-0.27,18014.33,1851.97,300
20190222,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3439.38,3520.12,3417.98,3520.12,77.41,2.25,18723.80,2028.69,300
20190225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3575.85,3729.48,3574.69,3729.48,209.36,5.95,34255.71,3763.82,300
20190226,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3734.71,3762.11,3679.27,3684.69,-44.79,-1.20,35803.87,3876.33,300
20190227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3682.81,3737.63,3638.33,3678.39,-6.30,-0.17,28623.60,3073.06,300
20190228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3675.26,3695.46,3650.05,3669.37,-9.02,-0.25,18481.02,2060.11,300
20190301,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3699.22,3749.71,3668.77,3749.71,80.34,2.19,20471.10,2356.21,300
20190304,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3783.04,3886.58,3764.78,3794.10,44.39,1.18,32349.01,3763.97,300
20190305,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3785.38,3816.16,3770.79,3816.01,21.91,0.58,23085.32,2614.64,300
20190306,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3822.86,3855.16,3787.52,3848.09,32.08,0.84,31807.74,3311.56,300
20190307,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3841.15,3845.18,3778.80,3808.85,-39.24,-1.02,32984.65,3593.39,300
20190308,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3721.40,3774.54,3656.19,3657.58,-151.27,-3.97,31799.01,3492.97,300
